"rules","support","confidence","coverage","lift","count"
"{Age=adult,Sex=female} => {Survived=yes}",0.143571104043617,0.743529411764706,0.193094048159927,2.30169934640523,316
"{Sex=female} => {Survived=yes}",0.156292594275329,0.731914893617021,0.213539300318037,2.26574498009995,344
"{Age=adult,Sex=male} => {Class=crew}",0.391640163562017,0.517096580683863,0.757383007723762,1.28602211761038,862
"{Class=crew,Survived=no} => {Sex=male}",0.304407087687415,0.99554234769688,0.305770104497955,1.26585136180291,670
"{Class=crew,Age=adult,Survived=no} => {Sex=male}",0.304407087687415,0.99554234769688,0.305770104497955,1.26585136180291,670
"{Age=adult,Sex=male,Survived=no} => {Class=crew}",0.304407087687415,0.504138449962378,0.603816447069514,1.25379517329626,670
"{Class=crew} => {Sex=male}",0.391640163562017,0.974011299435028,0.402089959109496,1.23847421724812,862
"{Class=crew,Age=adult} => {Sex=male}",0.391640163562017,0.974011299435028,0.402089959109496,1.23847421724812,862
"{Class=third,Age=adult,Sex=male} => {Survived=no}",0.175829168559746,0.837662337662338,0.209904588823262,1.23737906388913,387
"{Class=third,Sex=male} => {Survived=no}",0.191731031349387,0.827450980392157,0.231712857791913,1.2222950388209,422
"{Age=adult,Sex=male} => {Survived=no}",0.603816447069514,0.797240551889622,0.757383007723762,1.1776687615497,1329
"{Age=adult,Survived=no} => {Sex=male}",0.603816447069514,0.924200278164117,0.653339391185825,1.1751385397107,1329
"{Sex=male} => {Survived=no}",0.619718309859155,0.787983824378972,0.786460699681963,1.1639948976229,1364
"{Survived=no} => {Sex=male}",0.619718309859155,0.915436241610738,0.676965015901863,1.1639948976229,1364
"{Class=crew,Sex=male} => {Survived=no}",0.304407087687415,0.777262180974478,0.391640163562017,1.14815708746633,670
"{Class=crew,Age=adult,Sex=male} => {Survived=no}",0.304407087687415,0.777262180974478,0.391640163562017,1.14815708746633,670
"{Class=crew} => {Survived=no}",0.305770104497955,0.76045197740113,0.402089959109496,1.12332537064422,673
"{Class=crew,Age=adult} => {Survived=no}",0.305770104497955,0.76045197740113,0.402089959109496,1.12332537064422,673
"{Class=third,Age=adult} => {Survived=no}",0.216265333939119,0.759170653907496,0.284870513402999,1.12143262365799,476
"{Class=third} => {Survived=no}",0.239890958655157,0.747875354107649,0.320763289413903,1.10474741905432,528
"{Class=crew} => {Age=adult}",0.402089959109496,1,0.402089959109496,1.05210325047801,885
"{Class=crew,Survived=no} => {Age=adult}",0.305770104497955,1,0.305770104497955,1.05210325047801,673
"{Class=crew,Sex=male} => {Age=adult}",0.391640163562017,1,0.391640163562017,1.05210325047801,862
"{Class=crew,Sex=male,Survived=no} => {Age=adult}",0.304407087687415,1,0.304407087687415,1.05210325047801,670
"{Class=third,Age=adult,Survived=no} => {Sex=male}",0.175829168559746,0.813025210084034,0.216265333939119,1.03377728907854,387
"{Class=first} => {Age=adult}",0.144934120854157,0.981538461538462,0.147660154475239,1.0326798058538,319
"{Sex=male,Survived=no} => {Age=adult}",0.603816447069514,0.974340175953079,0.619718309859155,1.02510646619155,1329
"{Class=third,Survived=no} => {Sex=male}",0.191731031349387,0.799242424242424,0.239890958655157,1.01625221014302,422
"{Survived=no} => {Age=adult}",0.653339391185825,0.96510067114094,0.676965015901863,1.01538555314589,1438
"{Age=adult} => {Survived=no}",0.653339391185825,0.687380497131931,0.950477055883689,1.01538555314589,1438
"{Age=adult} => {Sex=male}",0.757383007723762,0.796845124282983,0.950477055883689,1.01320399684971,1667
"{Sex=male} => {Age=adult}",0.757383007723762,0.963027151935298,0.786460699681963,1.01320399684971,1667
"{} => {Survived=no}",0.676965015901863,0.676965015901863,1,1,1490
"{} => {Sex=male}",0.786460699681963,0.786460699681963,1,1,1731
"{} => {Age=adult}",0.950477055883689,0.950477055883689,1,1,2092
"{Sex=male,Survived=yes} => {Age=adult}",0.153566560654248,0.920980926430518,0.166742389822808,0.968967026325798,338
"{Survived=yes} => {Age=adult}",0.297137664697865,0.919831223628692,0.323034984098137,0.967757420270913,654
"{Sex=female,Survived=yes} => {Age=adult}",0.143571104043617,0.918604651162791,0.156292594275329,0.966466939392592,316
"{Class=third,Sex=male,Survived=no} => {Age=adult}",0.175829168559746,0.917061611374408,0.191731031349387,0.964843502215617,387
"{Class=second} => {Age=adult}",0.118582462517038,0.91578947368421,0.129486597001363,0.963505082016705,261
"{Class=third,Sex=male} => {Age=adult}",0.209904588823262,0.905882352941176,0.231712857791913,0.953081768080081,462
"{Sex=female} => {Age=adult}",0.193094048159927,0.904255319148936,0.213539300318037,0.951369960538627,425
"{Class=third,Survived=no} => {Age=adult}",0.216265333939119,0.901515151515151,0.239890958655157,0.948487021264268,476
"{Class=third,Age=adult} => {Sex=male}",0.209904588823262,0.736842105263158,0.284870513402999,0.936908996929064,462
"{Class=third} => {Age=adult}",0.284870513402999,0.888101983002833,0.320763289413903,0.934374983073248,627
"{Class=third} => {Sex=male}",0.231712857791913,0.722379603399433,0.320763289413903,0.918519645916899,510
"{Age=adult,Survived=yes} => {Sex=male}",0.153566560654248,0.516819571865443,0.297137664697865,0.657146087623247,338
"{Survived=yes} => {Sex=male}",0.166742389822808,0.516174402250352,0.323034984098137,0.656325741971706,367
